temporada,id_partido,fecha,hora,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante,estado,resultado,total_goles
2021_Apertura,9276414,1/16/2021,22:00,1,Millonarios,Envigado FC,1,0,Ended,Victoria Local,1
2021_Apertura,9276409,1/17/2021,23:05,1,Atlético Nacional,Independiente Santa Fe,2,0,Ended,Victoria Local,2
2021_Apertura,9276412,1/17/2021,19:00,1,Deportivo Pasto,Deportivo La Equidad,2,2,Ended,Empate,4
2021_Apertura,9276413,1/17/2021,0:30,1,Junior Barranquilla,Independiente Medellín,1,0,Ended,Victoria Local,1
2021_Apertura,9276415,1/17/2021,20:00,1,Patriotas Boyacá,América de Cali,,,Canceled,,
2021_Apertura,9276410,1/18/2021,20:30,1,Deportes Tolima,Once Caldas,1,1,Ended,Empate,2
2021_Apertura,9276411,1/18/2021,1:10,1,Deportivo Cali,Jaguares de Córdoba,1,0,Ended,Victoria Local,1
2021_Apertura,9276408,1/20/2021,0:40,1,Atlético Bucaramanga,Boyacá Chicó FC,2,0,Ended,Victoria Local,2
2021_Apertura,9276407,1/21/2021,0:40,1,Alianza Petrolera,Deportivo Pereira,2,2,Ended,Empate,4
2021_Apertura,9277357,1/23/2021,22:35,2,Envigado FC,Deportivo Pasto,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277358,1/23/2021,1:00,2,Independiente Medellín,Patriotas Boyacá,2,1,Ended,Victoria Local,3
2021_Apertura,9277354,1/24/2021,21:00,2,América de Cali,Rionegro Águilas Doradas,1,1,Ended,Empate,2
2021_Apertura,9277359,1/24/2021,20:00,2,Independiente Santa Fe,Deportes Tolima,,,Canceled,,
2021_Apertura,9277360,1/24/2021,23:05,2,Jaguares de Córdoba,Atlético Bucaramanga,2,1,Ended,Victoria Local,3
2021_Apertura,9277356,1/25/2021,1:10,2,Deportivo Pereira,Deportivo Cali,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277361,1/25/2021,19:00,2,Deportivo La Equidad,Atlético Nacional,1,0,Ended,Victoria Local,1
2021_Apertura,9277362,1/25/2021,22:30,2,Once Caldas,Junior Barranquilla,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277355,1/27/2021,1:00,2,Boyacá Chicó FC,Millonarios,,,Canceled,,
2021_Apertura,9277367,1/29/2021,23:00,3,Jaguares de Córdoba,Alianza Petrolera,2,0,Ended,Victoria Local,2
2021_Apertura,9277364,1/30/2021,23:05,3,Atlético Nacional,Deportivo Pereira,5,2,Ended,Victoria Local,7
2021_Apertura,9277366,1/30/2021,1:00,3,Deportivo Cali,Envigado FC,1,1,Ended,Empate,2
2021_Apertura,9277370,1/30/2021,19:00,3,Patriotas Boyacá,Boyacá Chicó FC,1,1,Ended,Empate,2
2021_Apertura,9277371,1/30/2021,21:00,3,Rionegro Águilas Doradas,Independiente Santa Fe,0,2,Ended,Victoria Visitante,2
2021_Apertura,9277365,1/31/2021,20:30,3,Deportes Tolima,Deportivo La Equidad,1,0,Ended,Victoria Local,1
2021_Apertura,9277368,1/31/2021,1:10,3,Junior Barranquilla,América de Cali,2,1,Ended,Victoria Local,3
2021_Apertura,9277363,2/1/2021,0:40,3,Atlético Bucaramanga,Independiente Medellín,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277369,2/1/2021,19:00,3,Millonarios,Once Caldas,4,3,Ended,Victoria Local,7
2021_Apertura,9277374,2/2/2021,23:00,4,Boyacá Chicó FC,Deportivo Cali,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277377,2/2/2021,21:00,4,Envigado FC,Jaguares de Córdoba,1,1,Ended,Empate,2
2021_Apertura,9277372,2/3/2021,23:05,4,Alianza Petrolera,Rionegro Águilas Doradas,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277375,2/3/2021,1:05,4,Deportivo Pasto,Atlético Nacional,0,0,Ended,Empate,0
2021_Apertura,9277376,2/3/2021,21:00,4,Deportivo Pereira,Deportes Tolima,0,0,Ended,Empate,0
2021_Apertura,9277380,2/3/2021,19:00,4,Deportivo La Equidad,Junior Barranquilla,1,0,Ended,Victoria Local,1
2021_Apertura,9277373,2/4/2021,1:10,4,América de Cali,Atlético Bucaramanga,0,0,Ended,Empate,0
2021_Apertura,9277379,2/4/2021,19:00,4,Independiente Santa Fe,Patriotas Boyacá,1,0,Ended,Victoria Local,1
2021_Apertura,9277378,2/5/2021,1:00,4,Independiente Medellín,Millonarios,0,0,Ended,Empate,0
2021_Apertura,9277385,2/6/2021,22:30,5,Junior Barranquilla,Alianza Petrolera,2,0,Ended,Victoria Local,2
2021_Apertura,9277387,2/6/2021,20:15,5,Once Caldas,Envigado FC,3,1,Ended,Victoria Local,4
2021_Apertura,9277382,2/7/2021,1:00,5,Atlético Nacional,Boyacá Chicó FC,2,0,Ended,Victoria Local,2
2021_Apertura,9277383,2/7/2021,21:00,5,Deportes Tolima,Independiente Medellín,2,1,Ended,Victoria Local,3
2021_Apertura,9277386,2/7/2021,19:00,5,Millonarios,Deportivo Pereira,3,2,Ended,Victoria Local,5
2021_Apertura,9277388,2/7/2021,23:05,5,Patriotas Boyacá,Deportivo Cali,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277384,2/8/2021,1:10,5,Jaguares de Córdoba,Independiente Santa Fe,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277381,2/9/2021,1:00,5,Atlético Bucaramanga,Deportivo La Equidad,0,0,Ended,Empate,0
2021_Apertura,9277389,2/10/2021,0:40,5,Rionegro Águilas Doradas,Deportivo Pasto,1,1,Ended,Empate,2
2021_Apertura,9277390,2/12/2021,23:00,6,Alianza Petrolera,Once Caldas,0,0,Ended,Empate,0
2021_Apertura,9277394,2/12/2021,21:00,6,Deportivo Pereira,Patriotas Boyacá,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277391,2/13/2021,1:05,6,Boyacá Chicó FC,América de Cali,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277392,2/13/2021,22:30,6,Deportivo Cali,Rionegro Águilas Doradas,1,0,Ended,Victoria Local,1
2021_Apertura,9277398,2/13/2021,20:15,6,Deportivo La Equidad,Millonarios,1,0,Ended,Victoria Local,1
2021_Apertura,9277395,2/14/2021,1:00,6,Envigado FC,Junior Barranquilla,2,2,Ended,Empate,4
2021_Apertura,9277396,2/14/2021,23:05,6,Independiente Medellín,Jaguares de Córdoba,1,0,Ended,Victoria Local,1
2021_Apertura,9277397,2/14/2021,19:00,6,Independiente Santa Fe,Atlético Bucaramanga,2,0,Ended,Victoria Local,2
2021_Apertura,9277393,2/15/2021,1:10,6,Deportivo Pasto,Deportes Tolima,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277406,2/16/2021,23:00,7,Patriotas Boyacá,Alianza Petrolera,3,1,Ended,Victoria Local,4
2021_Apertura,9277400,2/17/2021,19:00,7,Atlético Bucaramanga,Deportivo Pereira,2,0,Ended,Victoria Local,2
2021_Apertura,9277401,2/17/2021,23:05,7,Independiente Medellín,Boyacá Chicó FC,1,0,Ended,Victoria Local,1
2021_Apertura,9277405,2/17/2021,1:00,7,Once Caldas,Atlético Nacional,0,1,Ended,Victoria Visitante,1
2021_Apertura,9277407,2/17/2021,21:00,7,Rionegro Águilas Doradas,Envigado FC,1,1,Ended,Empate,2
2021_Apertura,9277402,2/18/2021,21:00,7,Jaguares de Córdoba,Deportivo La Equidad,2,1,Ended,Victoria Local,3
2021_Apertura,9277403,2/18/2021,1:10,7,Junior Barranquilla,Deportivo Cali,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277404,2/18/2021,23:00,7,Millonarios,Deportivo Pasto,3,1,Ended,Victoria Local,4
2021_Apertura,9277399,2/19/2021,1:05,7,América de Cali,Independiente Santa Fe,0,0,Ended,Empate,0
2021_Apertura,9277410,2/20/2021,1:00,8,Deportes Tolima,Patriotas Boyacá,3,1,Ended,Victoria Local,4
2021_Apertura,9277413,2/20/2021,22:30,8,Deportivo Pereira,Rionegro Águilas Doradas,0,0,Ended,Empate,0
2021_Apertura,9277414,2/20/2021,20:15,8,Envigado FC,Atlético Bucaramanga,1,0,Ended,Victoria Local,1
2021_Apertura,9277409,2/21/2021,1:00,8,Boyacá Chicó FC,Junior Barranquilla,2,1,Ended,Victoria Local,3
2021_Apertura,9277412,2/21/2021,21:00,8,Deportivo Pasto,Jaguares de Córdoba,2,2,Ended,Empate,4
2021_Apertura,9277415,2/21/2021,23:05,8,Independiente Santa Fe,Independiente Medellín,0,0,Ended,Empate,0
2021_Apertura,9277416,2/21/2021,19:00,8,Deportivo La Equidad,Once Caldas,0,0,Ended,Empate,0
2021_Apertura,9277408,2/22/2021,1:10,8,Atlético Nacional,América de Cali,2,2,Ended,Empate,4
2021_Apertura,9277411,2/23/2021,1:00,8,Deportivo Cali,Alianza Petrolera,1,1,Ended,Empate,2
2021_Apertura,9277418,2/24/2021,19:00,9,América de Cali,Envigado FC,0,0,Ended,Empate,0
2021_Apertura,9277419,2/24/2021,23:05,9,Atlético Bucaramanga,Atlético Nacional,3,2,Ended,Victoria Local,5
2021_Apertura,9277423,2/24/2021,1:00,9,Junior Barranquilla,Millonarios,2,0,Ended,Victoria Local,2
2021_Apertura,9277425,2/24/2021,21:00,9,Rionegro Águilas Doradas,Deportivo La Equidad,1,2,Ended,Victoria Visitante,3
2021_Apertura,9277417,2/25/2021,23:05,9,Alianza Petrolera,Deportes Tolima,0,5,Ended,Victoria Visitante,5
2021_Apertura,9277421,2/25/2021,1:10,9,Independiente Santa Fe,Boyacá Chicó FC,2,0,Ended,Victoria Local,2
2021_Apertura,9277422,2/25/2021,21:00,9,Jaguares de Córdoba,Deportivo Pereira,2,0,Ended,Victoria Local,2
